x,y,z
0.23341243,0.797824085,1.475000024
0.238605276,0.729432583,1.423000097
0.245870531,0.666729927,1.370000124
0.24698092,0.603757799,1.32400012
0.256280303,0.543180466,1.27700007
0.259649634,0.485208422,1.222000003
0.262619168,0.429062784,1.171000004
0.266311824,0.369768888,1.117000103
0.272512555,0.316068858,1.069000006
0.276314467,0.264983445,1.018000007
0.280944526,0.218194902,0.960000038
0.2825436,0.163374975,0.907000065
0.285835356,0.121466413,0.853000045
0.295259744,0.077785186,0.797000051
0.295480907,0.04086899,0.741000056
0.299731344,0.003849562,0.683000028
0.305226803,-0.028899563,0.625
0.307395667,-0.061194118,0.569000006
0.31218791,-0.090747662,0.509000003
0.313835174,-0.116564333,0.451000035
0.318181783,-0.143467516,0.391000032
0.321916848,-0.159412339,0.337000012
